typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,Column1
C,M,20040401,2004,4,200404,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,33100,FALSE,8,kg,33100,FALSE,33100,FALSE,0,FALSE,157738.93,,157738.93,0,FALSE,TRUE,
C,M,20040401,2004,4,200404,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33100,FALSE,8,kg,33100,FALSE,33100,FALSE,0,FALSE,157738.93,,157738.93,0,FALSE,TRUE,
C,M,20040301,2004,3,200403,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,6250,FALSE,8,kg,6250,FALSE,6250,FALSE,0,FALSE,36241.907,0,36241.907,0,FALSE,TRUE,
C,M,20040301,2004,3,200403,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6250,FALSE,8,kg,6250,FALSE,6250,FALSE,0,FALSE,36241.907,0,36241.907,0,FALSE,TRUE,
C,M,20041201,2004,12,200412,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,16700,FALSE,8,kg,16700,FALSE,16700,FALSE,0,FALSE,107037.108,0,107037.108,0,FALSE,TRUE,
C,M,20041201,2004,12,200412,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16700,FALSE,8,kg,16700,FALSE,16700,FALSE,0,FALSE,107037.108,0,107037.108,0,FALSE,TRUE,
C,M,20041101,2004,11,200411,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,38740,FALSE,8,kg,38740,FALSE,38740,FALSE,0,FALSE,203350.851,0,203350.851,0,FALSE,TRUE,
C,M,20041101,2004,11,200411,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38740,FALSE,8,kg,38740,FALSE,38740,FALSE,0,FALSE,203350.851,0,203350.851,0,FALSE,TRUE,
C,M,20041001,2004,10,200410,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,34500,FALSE,8,kg,34500,FALSE,34500,FALSE,0,FALSE,171127.937,,171127.937,0,FALSE,TRUE,
C,M,20050801,2005,8,200508,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,63625,FALSE,8,kg,63625,FALSE,63625,FALSE,0,FALSE,344475.027,0,344475.027,0,FALSE,TRUE,
